Leaves damage,Cotyledons start bending and collapse,
Leaves damage,Curling of leaves,Curling both sides
Leaves damage,Curling of leaves,Only downward curling of leaves
Leaves damage,Curling of leaves,Only upward curling of leaves
Leaves damage,Discolorization of leaves,A pale yellowish green colour of leaf(older)
Leaves damage,Discolorization of leaves,Bronzing and interveinal chlorosis appear. 
Leaves damage,Discolorization of leaves,Chlorotic spots which later coalesce forming irregular yellowing of leaves which extends from veins to outer edges. 
Leaves damage,Discolorization of leaves,Fading of leaf (yellow)
Leaves damage,Discolorization of leaves,Leaf is dark green in colour 
Leaves damage,Discolorization of leaves,Leaf margins turning yellow to red
Leaves damage,Discolorization of leaves,Leaf turns into yellow color
Leaves damage,Discolorization of leaves,Pale yellowish leaves
Leaves damage,Discolorization of leaves,Purplish red leaves with green veins (older leaves)
Leaves damage,Discolorization of leaves,The whole leaf becomes reddish brown after spots occurs
Leaves damage,Discolorization of leaves,Yellowing of edges of leaves i.e. discolouration starts from the margin and spreads towards the midrib. Finally leaf turns brown 
Leaves damage,Discolorization of leaves,Yellowish leaves(young).
Leaves damage,Dried leaves,
Leaves damage,Fed leaves/holes in leaves,Circular holes on leaves.
Leaves damage,Fed leaves/holes in leaves,Irregular holes on leaves
Leaves damage,Fed leaves/holes in leaves,Marginal portion of leaves eaten away
Leaves damage,Fed leaves/holes in leaves,Skelitinzation of leaves 
Leaves damage,Necrosis of leaves,Brown necrotic patches on the leaves. 
Leaves damage,Necrosis of leaves,On older leaves the necrotic center of the spots may be marked by a pattern of concentric zonation
Leaves damage,Powdery growth on leaves,
Leaves damage,Reduction in leaf size,
Leaves damage,Rolling of leaves,
Leaves damage,Shedding of leaves,Shedding of all leaves
Leaves damage,Shedding of leaves,Shedding of older leaves
Leaves damage,Sooty mould development on leaves,
Leaves damage,Spots(lesions) on leaves,Circular or irregular spots with grayish white centre surrounded by brown margin
Leaves damage,Spots(lesions) on leaves,Water soaked lesions appear on upper surface of leaf
Leaves damage,Spots on leaves,Bright yellow/orange/brown spots usually on under surface of the older(lower) leaves surrounded by purple borders
Leaves damage,Spots on leaves,Circular spots
Leaves damage,Spots on leaves, Cotton rust-light yellowish green spots appear between the veins.
Leaves damage,Spots on leaves,Reddish brown colour angular spots on both sides of leaves
Leaves damage,Spots on leaves,Reddish circular spots on leaves
Leaves damage,Spots on leaves,"Small brown, round spots surrounded by a purple margin appear on leaves. "
Leaves damage,Spots on leaves,The spots are grayish white in colour with deep purple margin
Leaves damage,Spots on leaves,Yellow spots on leaves
Leaves damage,The leaf petioles start bending and collapse,
Leaves damage,Upward cupping of leaves,
Lint damage,Brittle mass in lint,
Lint damage,Poor quality lint,
Lint damage,Retarded development of lint,
Lint damage,Staining of lint,Black color of lint
Lint damage,Staining of lint,Lint turns into red color
Lint damage,Staining of lint,Pink colour of lint
Lint damage,Staining of lint,Yellow colour of lint
Lint damage,Staining of lint,Yellow or brown color of lint
Root damage,Root rot,
Seeds damage,Fed seeds,
Seeds damage,Low germination percentage,
Seeds damage,Reduced seed size,
Seeds damage,Underdeveloped seeds,
Stems damage,Bored stem,
Stems damage,Dark reddish-brown cankers are formed on the stems ,
Stems damage,Drying of stems/wilting of stems ,
Stems damage,Fed shoots,
Stems damage,Galls on stems,
Stems damage,Girdling of stem ,
Stems damage,Gummosis,
Stems damage,Powdery growth on stems,
Stems damage,Shredding of bark.,
Stems damage,Sooty mould development on stem,
Stems damage,Splitting of stem,
Stems damage,Spots on stems,Bright yellow/orange/brown spots usually on stems surrounded by purple borders
Stems damage,Spots on stems,Spherical or elliptical purple spots on stems
Stems damage,Stem damage(need to name it),Browning or blackening of vascular tissues i.e black streaks or stripes may be seen extending upwards to the branches 
Stems damage,Stem damage(need to name it),Pinkish to pinkish brown discolouration of stem
Stems damage,Terminal bud often dies ,
Stems damage,White waxy growth on stems,
Stems damage,Withering of stems/drooping of stems,
Whole plant damage,Bushy appearence of plant,
Whole plant damage,Stunted growth of plant,In all stages
Whole plant damage,Stunted growth of plant,The vegetative growth retarded 
Whole plant damage,Wilting of plant,Wilting of plants in concentric circular patches in the crop
Whole plant damage,Wilting of plant,Wilting of plants in whole crop
